Job num   , Timestamp       , finger dimension   , Trained to   , Train best episode   , Train best SR   , Final test SR   , set8_fullset_1500
1, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,90000,0.750,0.717,0.848
2, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,90000,0.797,0.775,0.924
3, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,110000,0.667,0.621,0.698
4, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,100000,0.823,0.808,0.924
5, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,70000,0.797,0.725,0.860
6, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,105000,0.797,0.772,0.880
7, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,105000,0.747,0.729,0.866
8, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,120000,0.813,0.788,0.895
9, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,50000,0.790,0.764,0.879
10, 26-04-24_17-01  ," (0.00086, 0.028)   ",95000,5000,0.000,0.000,0.000
11, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,95000,0.753,0.727,0.918
12, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,105000,0.817,0.779,0.907
13, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,85000,0.787,0.768,0.900
14, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,80000,0.800,0.767,0.905
15, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,50000,0.800,0.751,0.919
16, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,65000,0.820,0.781,0.894
17, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,85000,0.810,0.775,0.860
18, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,105000,0.690,0.679,0.848
19, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,95000,0.770,0.726,0.886
20, 26-04-24_17-01  ," (0.00086, 0.028)   ",120000,105000,0.807,0.784,0.908
21, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,95000,0.783,0.768,0.914
22, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,120000,0.807,0.784,0.907
23, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,100000,0.730,0.700,0.845
24, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,60000,0.803,0.779,0.910
25, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,120000,0.773,0.753,0.907
26, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,85000,0.773,0.759,0.868
27, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,105000,0.793,0.757,0.890
28, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,100000,0.700,0.661,0.828
29, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,105000,0.683,0.662,0.802
30, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,80000,0.770,0.758,0.891
31, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,75000,0.787,0.774,0.931
32, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,90000,0.797,0.770,0.908
33, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,95000,0.813,0.790,0.895
34, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,100000,0.837,0.818,0.911
35, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,85000,0.800,0.777,0.918
36, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,120000,0.750,0.733,0.888
37, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,90000,0.823,0.801,0.917
38, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,115000,0.673,0.648,0.823
39, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,105000,0.813,0.801,0.900
40, 26-04-24_17-01  ," (0.00096, 0.024)   ",120000,105000,0.777,0.786,0.911
41, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,85000,0.733,0.717,0.804
42, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,75000,0.837,0.815,0.929
43, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,110000,0.807,0.784,0.918
44, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,90000,0.827,0.828,0.928
45, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,110000,0.843,0.842,0.925
46, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,85000,0.797,0.765,0.897
47, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,95000,0.823,0.802,0.923
48, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,95000,0.847,0.829,0.940
49, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,115000,0.803,0.775,0.898
50, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,90000,0.797,0.773,0.914
51, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,120000,0.723,0.725,0.891
52, 26-04-24_17-04  ," (0.00096, 0.028)   ",90000,5000,0.000,0.000,0.000
53, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,110000,0.797,0.777,0.918
54, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,120000,0.487,0.494,0.664
55, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,90000,0.793,0.782,0.907
56, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,80000,0.823,0.815,0.918
57, 26-04-24_17-04  ," (0.00096, 0.028)   ",90000,5000,0.000,0.000,0.000
58, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,65000,0.817,0.808,0.920
59, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,90000,0.833,0.813,0.919
60, 26-04-24_17-04  ," (0.00096, 0.028)   ",120000,110000,0.850,0.838,0.917
